open,high,low,close,volume,Date
42.29,43.4,42.25,43.36,212900,2020-01-02
42.75,43.35,42.35,43.2,208634,2020-01-03
42.84,43.525,42.54,43.45,192248,2020-01-06
43.51,44.33,43.15,43.81,282830,2020-01-07
43.86,44.99,43.69,44.09,227715,2020-01-08
44.44,45.1,44.25,44.73,232862,2020-01-09
45.14,45.79,44.56,45.35,310226,2020-01-10
45.63,46.56,45.57,46.2,190427,2020-01-13
46.45,46.54,45.62,45.8,265811,2020-01-14
45.8,46.33,44.88,45.2,245330,2020-01-15
45.43,45.71,45.0333,45.68,277513,2020-01-16
46.0,46.0,44.83,45.15,219355,2020-01-17
45.14,45.53,44.69,44.81,176104,2020-01-21
45.02,45.19,44.04,44.27,225362,2020-01-22
44.21,45.81,43.78,45.29,354033,2020-01-23
45.66,45.99,44.87,45.41,279629,2020-01-24
44.38,45.16,44.185,44.97,179555,2020-01-27
45.35,46.34,45.35,45.97,246863,2020-01-28
46.11,46.27,45.42,45.74,186672,2020-01-29
45.64,47.145,45.56,47.09,251176,2020-01-30
46.82,47.86,44.77,45.49,278560,2020-01-31
45.55,46.345,45.52,46.16,124818,2020-02-03
46.63,47.1187,46.47,46.75,166495,2020-02-04
47.33,47.4,45.39,46.03,153264,2020-02-05
46.33,46.8198,45.71,46.34,139342,2020-02-06
46.18,47.05,45.97,47.03,133675,2020-02-07
46.89,47.38,46.28,47.08,103400,2020-02-10
47.48,47.48,46.36,46.57,99609,2020-02-11
46.99,47.03,45.61,46.29,233709,2020-02-12
46.11,47.24,46.11,47.17,128401,2020-02-13
47.39,48.12,47.23,47.57,167330,2020-02-14
47.09,47.88,47.0,47.76,204068,2020-02-18
47.81,48.94,47.78,48.79,182370,2020-02-19
48.41,48.91,47.64,48.31,312876,2020-02-20
49.02,49.02,46.17,47.11,451426,2020-02-21
45.0,45.93,44.15,44.88,302529,2020-02-24
45.45,45.7,43.575,44.95,266295,2020-02-25
45.05,46.56,44.66,44.97,405864,2020-02-26
43.73,44.89,42.79,43.25,344258,2020-02-27
42.3,43.23,41.6,42.74,546172,2020-02-28
42.0,42.81,41.61,42.56,372382,2020-03-02
42.62,43.13,41.35,42.08,632380,2020-03-03
42.87,43.9,42.01,43.86,552082,2020-03-04
42.95,43.94,42.84,43.9,388288,2020-03-05
42.79,43.02,39.99,41.16,484877,2020-03-06
39.24,39.24,36.86,37.05,353497,2020-03-09
37.99,38.17,35.6,36.34,568621,2020-03-10
35.5,35.55,32.975,33.89,573881,2020-03-11
32.2,32.5,30.1,30.33,567224,2020-03-12
31.72,32.59,28.59,29.8,590864,2020-03-13
26.0,26.41,24.32,25.66,726875,2020-03-16
26.0,27.26,24.11,25.31,1156556,2020-03-17
23.6,25.23,22.01,24.82,882469,2020-03-18
24.68,30.49,23.19,29.6,837677,2020-03-19
30.07,31.71,27.29,29.34,611558,2020-03-20
29.4,33.2,28.65,31.34,433047,2020-03-23
33.23,36.34,33.02,34.91,822170,2020-03-24
34.9,36.14,33.16,33.5,694446,2020-03-25
33.78,36.38,33.49,35.49,411701,2020-03-26
34.37,36.43,34.1,35.31,477528,2020-03-27
35.5,36.035,33.03,34.17,353420,2020-03-30
33.97,34.59,31.79,32.33,759009,2020-03-31
30.97,32.24,30.1,30.92,451220,2020-04-01
30.55,31.73,30.06,31.06,364065,2020-04-02
30.74,31.26,29.8686,30.83,274662,2020-04-03
32.09,33.25,32.09,33.08,225802,2020-04-06
33.96,34.4,32.52,32.95,310429,2020-04-07
33.56,35.31,33.26,34.74,308648,2020-04-08
35.24,36.03,34.0,34.54,349022,2020-04-09
33.71,34.3,31.97,32.46,684376,2020-04-13
33.56,34.03,32.64,32.98,833112,2020-04-14
31.81,33.03,31.46,32.51,742705,2020-04-15
32.77,33.88,32.14,32.28,369190,2020-04-16
33.0,33.86,32.69,33.51,631866,2020-04-17
32.57,34.2367,32.57,33.58,539044,2020-04-20
32.97,33.38,31.62,32.03,218619,2020-04-21
32.72,32.815,32.0,32.18,275357,2020-04-22
32.41,34.1,32.3,33.32,732319,2020-04-23
33.29,34.44,32.97,34.13,485647,2020-04-24
34.54,35.83,34.4916,34.82,371531,2020-04-27
35.51,36.28,34.365,35.95,469663,2020-04-28
36.77,37.87,36.2915,37.38,692608,2020-04-29
36.77,38.4,36.005,38.35,690027,2020-04-30
37.88,38.65,35.565,35.89,490664,2020-05-01
35.16,37.75,34.63,37.73,612435,2020-05-04
38.39,38.74,37.74,37.99,389547,2020-05-05
38.15,40.56,38.15,39.75,482165,2020-05-06
40.4,41.25,40.17,40.78,514049,2020-05-07
41.17,42.4,40.49,42.35,382791,2020-05-08
41.69,42.88,41.48,42.46,497696,2020-05-11
42.41,42.54,39.9,40.12,382376,2020-05-12
39.78,40.21,38.35,39.18,387927,2020-05-13
38.47,40.44,38.28,40.38,464323,2020-05-14
40.27,41.335,39.93,40.58,422654,2020-05-15
41.92,42.465,40.56,41.12,300803,2020-05-18
40.79,41.45,40.1,40.43,370183,2020-05-19
41.07,41.715,40.6,41.47,634225,2020-05-20
41.75,41.93,40.245,41.44,256784,2020-05-21
41.51,42.49,40.93,42.24,383003,2020-05-22
43.35,43.49,41.37,42.25,254896,2020-05-26
42.79,43.41,41.085,43.31,301887,2020-05-27
43.64,44.69,43.39,43.56,337191,2020-05-28
43.13,44.63,43.02,44.54,425746,2020-05-29
44.63,45.71,44.04,45.02,579048,2020-06-01
45.26,45.52,43.375,44.45,471073,2020-06-02
44.6,44.99,44.08,44.18,309680,2020-06-03
43.72,44.038,42.85,43.29,295899,2020-06-04
43.47,44.089,42.97,43.26,515789,2020-06-05
43.34,44.14,42.87,43.79,382460,2020-06-08
43.32,43.99,43.15,43.41,265756,2020-06-09
43.62,47.17,43.11,45.57,811958,2020-06-10
44.15,44.725,42.69,43.54,654725,2020-06-11
44.65,45.48,43.79,45.4,544633,2020-06-12
44.43,46.37,43.84,46.3,705161,2020-06-15
47.49,48.5999,46.45,48.18,604758,2020-06-16
48.4,48.51,47.11,47.5,345940,2020-06-17
47.44,49.65,47.08,49.6,499733,2020-06-18
50.0,51.17,50.0,50.95,765907,2020-06-19
51.0,51.8827,50.45,51.6,344770,2020-06-22
52.14,54.4,51.835,52.66,501268,2020-06-23
52.26,52.95,51.1,52.74,424911,2020-06-24
52.75,55.5,52.41,55.45,499732,2020-06-25
55.46,55.75,53.68,55.5,999500,2020-06-26
56.05,56.05,54.14,54.67,564100,2020-06-29
54.44,54.54,53.36,53.49,664600,2020-06-30
53.38,55.6,53.38,55.48,351100,2020-07-01
56.15,56.56,54.91,55.1,310400,2020-07-02
55.92,56.33,55.17,55.35,284200,2020-07-06
55.26,55.95,54.93,55.05,325600,2020-07-07
54.95,55.8,54.81,55.76,257000,2020-07-08
55.82,56.22,55.02,55.67,412800,2020-07-09
55.93,55.93,54.71,55.07,433000,2020-07-10
55.5,56.05,53.4,53.48,477400,2020-07-13
53.4,54.18,51.45,53.93,385100,2020-07-14
54.73,54.78,52.88,53.68,365800,2020-07-15
53.55,53.86,52.88,53.34,341500,2020-07-16
53.31,53.91,52.79,53.39,246400,2020-07-17
53.4,56.11,53.4,55.93,177266,2020-07-20
56.25,56.31,55.11,55.54,170192,2020-07-21
55.2,56.02,54.735,54.89,125785,2020-07-22
54.64,56.27,53.76,54.2,198014,2020-07-23
53.88,54.415,52.591,53.3,194576,2020-07-24
53.31,54.9,53.075,54.86,207892,2020-07-27
54.58,55.23,54.29,54.33,167299,2020-07-28
54.78,56.06,54.78,55.76,223112,2020-07-29
54.94,56.0,54.51,55.69,141753,2020-07-30
56.06,56.25,54.36,55.9,201530,2020-07-31
56.25,57.91,55.7,57.73,307939,2020-08-03
57.92,58.83,56.65,58.41,307693,2020-08-04
60.0,60.51,58.01,58.09,558271,2020-08-05
58.63,59.01,56.02,56.86,397685,2020-08-06
56.73,57.31,55.29,56.24,386876,2020-08-07
56.23,56.305,52.43,52.6,392046,2020-08-10
52.66,53.59,51.44,52.68,345329,2020-08-11
53.19,54.71,52.945,54.62,261779,2020-08-12
54.48,57.2348,54.48,56.12,291817,2020-08-13
56.0,56.0,53.785,54.37,221135,2020-08-14
54.82,55.51,54.07,55.24,446074,2020-08-17
55.15,55.67,54.59,55.14,223640,2020-08-18
55.4,55.8,54.6,55.14,177328,2020-08-19
54.78,56.19,54.65,55.75,289654,2020-08-20
55.53,55.53,54.72,55.32,250490,2020-08-21
55.99,56.08,54.77,55.33,209781,2020-08-24
55.13,56.955,54.82,56.69,413967,2020-08-25
56.98,58.51,56.98,58.26,223379,2020-08-26
58.52,59.31,57.87,58.71,451734,2020-08-27
59.03,60.1,58.64,59.52,317304,2020-08-28
59.63,59.985,58.97,59.0,198340,2020-08-31
58.7,61.175,58.7,60.99,425590,2020-09-01
61.29,61.5,59.69,61.28,385424,2020-09-02
60.45,60.45,55.84,56.23,312656,2020-09-03
55.89,56.06,52.5,55.15,411263,2020-09-04
53.44,55.29,53.085,53.89,279721,2020-09-08
54.82,56.18,54.54,55.61,187726,2020-09-09
56.19,57.1,54.63,55.06,210677,2020-09-10
55.49,55.49,52.39,53.01,221265,2020-09-11
53.42,54.5735,52.87,53.74,183449,2020-09-14
54.67,55.29,52.82,53.07,291344,2020-09-15
53.19,54.92,53.09,54.39,231586,2020-09-16
53.52,54.77,52.815,54.72,243960,2020-09-17
55.4,57.025,54.67,56.89,740851,2020-09-18
56.03,57.64,55.25,57.63,307231,2020-09-21
58.22,58.26,55.14,56.65,248091,2020-09-22
56.22,57.26,54.89,54.98,165940,2020-09-23
54.35,54.81,53.51,54.08,243453,2020-09-24
53.61,56.15,53.58,56.13,333214,2020-09-25
56.9,58.32,55.9901,57.53,144431,2020-09-28
57.53,58.27,56.67,56.93,161230,2020-09-29
56.92,57.59,55.505,55.76,336054,2020-09-30
56.29,56.765,55.53,56.65,206066,2020-10-01
55.51,56.9,55.09,55.52,149547,2020-10-02
55.85,56.73,55.64,56.51,131129,2020-10-05
56.69,58.72,56.69,57.57,201092,2020-10-06
57.93,59.61,57.93,59.11,187990,2020-10-07
59.78,59.78,58.81,59.33,158707,2020-10-08
59.88,60.92,59.3,60.45,167849,2020-10-09
61.0,61.43,60.07,60.52,233313,2020-10-12
60.35,60.5,58.895,59.93,268885,2020-10-13
60.28,60.28,58.33,58.83,113066,2020-10-14
57.85,59.26,57.13,59.07,109744,2020-10-15
59.17,59.7,58.225,58.65,120276,2020-10-16
59.28,59.475,56.94,57.33,148495,2020-10-19
57.35,57.585,56.2,56.68,190091,2020-10-20
56.64,57.17,54.82,54.89,180248,2020-10-21
55.12,56.0,53.69,55.52,208460,2020-10-22
55.69,56.68,54.79,56.61,214824,2020-10-23
55.91,56.38,54.11,54.9,218216,2020-10-26
55.29,56.64,55.29,55.95,195327,2020-10-27
55.01,55.47,53.39,54.06,161179,2020-10-28
54.28,54.5342,52.86,53.83,178796,2020-10-29
53.31,55.37,53.0,55.31,333640,2020-10-30
55.85,56.825,54.85,56.08,230738,2020-11-02
