open,high,low,close,volume,Date
3.06,3.1,2.965,3.07,965143,2020-01-02
3.0,3.1,2.98,3.07,1012221,2020-01-03
3.05,3.25,3.0,3.21,849109,2020-01-06
3.23,3.37,3.23,3.29,1180789,2020-01-07
3.26,3.4,3.2,3.39,1625318,2020-01-08
3.4,3.54,3.331,3.465,1156643,2020-01-09
3.41,3.49,3.28,3.43,817056,2020-01-10
3.46,3.63,3.33,3.57,1490633,2020-01-13
3.6,3.68,3.48,3.66,1176607,2020-01-14
3.65,3.674,3.45,3.61,1382753,2020-01-15
3.63,3.64,3.44,3.53,1072763,2020-01-16
3.47,3.503,3.16,3.29,2255167,2020-01-17
3.28,3.38,3.2,3.34,897331,2020-01-21
3.39,3.39,3.02,3.11,2779491,2020-01-22
3.14,3.3,2.905,3.15,3116386,2020-01-23
3.13,3.14,3.0,3.09,1066267,2020-01-24
3.04,3.1,2.93,3.08,1488392,2020-01-27
3.06,3.11,2.9,3.0,1754722,2020-01-28
3.0,3.07,2.85,2.94,2483370,2020-01-29
2.85,2.94,2.75,2.76,1555302,2020-01-30
2.96,3.35,2.851,3.21,4763724,2020-01-31
3.19,3.22,3.02,3.13,1192255,2020-02-03
3.09,3.2,3.0,3.07,1622822,2020-02-04
3.07,3.12,3.0,3.09,1036807,2020-02-05
3.09,3.12,3.015,3.05,813987,2020-02-06
3.03,3.1,3.01,3.04,718411,2020-02-07
3.03,3.25,3.023,3.2,1530238,2020-02-10
3.24,3.35,3.2,3.35,1697947,2020-02-11
3.35,3.55,3.33,3.39,2626514,2020-02-12
3.35,3.57,3.25,3.56,2321286,2020-02-13
3.53,3.63,3.28,3.32,1506595,2020-02-14
3.31,3.42,3.31,3.36,1136588,2020-02-18
3.36,3.54,3.35,3.49,1466654,2020-02-19
3.51,3.79,3.37,3.74,2925140,2020-02-20
3.84,3.94,3.56,3.67,2466665,2020-02-21
3.51,3.63,3.31,3.5,1546291,2020-02-24
3.57,3.7,3.53,3.55,1602291,2020-02-25
3.61,3.7,3.5,3.57,1450492,2020-02-26
3.5,3.52,3.02,3.12,2675148,2020-02-27
2.96,3.08,2.85,3.01,1853510,2020-02-28
3.09,3.116,2.69,2.85,2019483,2020-03-02
3.04,3.09,2.88,2.89,1551070,2020-03-03
2.99,3.15,2.82,3.09,1479636,2020-03-04
3.08,3.08,2.92,2.92,1365543,2020-03-05
2.8,2.9,2.75,2.8,1593655,2020-03-06
2.59,2.7,2.49,2.5,1326656,2020-03-09
2.76,2.76,2.47,2.64,1352010,2020-03-10
